Top 100 Dimension 4 Negative 	
-0.409	10523.         Iraq is far worse and of more danger to the U.S. now than it ever was under Saddam Hussein - and this after $2 trillion and so many lives!
-0.408	21634.         Scotland is beautiful. I spent several years looking for the right place, visiting over 200 sites, and this is absolutely the right place!
-0.406	6889.            Just got back from Georgia. The crowds and love for U.S. was so amazing! We all had a great day together - will be back soon!
-0.406	8900.            The Apprentice will be very exciting and interesting tonight at 8:00. Joan Rivers puts on a great show!
-0.405	6965.            I was so looking forward to being in Virginia Beach, Virginia, today. The demand for tickets was amazing. Good luck with storm, back soon!
-0.402	1459.            We were let down by all of the Democrats and a few Republicans. Most Republicans were loyal, terrific &amp; worked really hard. We will return!
-0.402	11122.         Ellen was so awkward and insecure last night. The pizza skit was terrible. She should dump Andy Lassner, a guy with no absolutely no talent!
-0.401	4546.            I gave a woman named Barbara Res a top N.Y. construction job, when that was unheard of, and now she is nasty. So much for a nice thank you!
-0.401	12734.         We have given Syria so much time and information-there has never been such an instance in wartime history. Syria is now fully prepared!
-0.399	11751.         Today is the day that ObamaCare website was supposed to be up and working. WRONG-website is closed down, a total disaster! 90 million doomed
-0.398	9623.            So many problems in the U.S. and leadership that is hopeless...and now, on top of everything else, we just hit $18 trillion in debt!
-0.395	6411.            The numbers at the @nytimes  are so dismal, especially advertising revenue, that big help will be needed fast. A once great institution-SAD!
-0.395	11670.         P.S. - There is also something really good to say about humility. Being confident and humble is a great combination, maybe the best of all!
-0.393	5207.            I am in Kansas. Will be an exciting day. Big speech this morning in Wichita, and then go to caucus. Sorry CPAC (the format was fine!).
-0.393	8810.            So many people have told me that I should host Meet the Press and replace the moron who is on now. Just too busy, especially next 10 years!
-0.393	10123.         We should have taken the oil in Iraq, and now our mortal enemies have got it, and with no opposition. Really dumb U.S. pols! I'm so angry!
-0.392	55. 4.2 million hard working Americans have already received a large Bonus and/or Pay Increase because of our recently Passed Tax Cut &amp; Jobs Bill....and it will only get better! We are far ahead of schedule.
-0.391	86. So disgraceful that a person illegally in our country killed @Colts linebacker Edwin Jackson. This is just one of many such preventable tragedies. We must get the Dems to get tough on the Border, and with illegal immigration, FAST!
-0.39	11. The U.S. economy is looking very good, in my opinion, even better than anticipated. Companies are pouring back into our country, reversing the long term trend of leaving. The unemployment numbers are looking great, and Regulations & Taxes have been massively Cut! JOBS, JOBS, JOBS
-0.389	11958.         I was just given a great tour of Moscow - fantastic, hard working people. CITY IS REALLY ENERGIZED! The World will be watching tonight!
-0.389	1393.            The crowd in Ohio was amazing last night - broke all records. We all had a great time in a great State. Will be back soon!
-0.389	8629.            Worst graphics and stage backdrop ever at the Oscars. Show is terrible, really BORING!
-0.387	5747.            .@AnnCoulter has been amazing. We will win and establish strong borders, we will build a WALL and Mexico will pay. We will be great again!
-0.387	6186.            A very good NBC/Wall Street Journal Poll was just released wherein I went up from last month and am in the lead. Nice!
-0.386	8261.            The best social program, by far, is a JOB! Our jobs are being taken away from us by China and many other countries - incompetent leader.
-0.386	2700.            The Theater must always be a safe and special place.The cast of Hamilton was very rude last night to a very good man, Mike Pence. Apologize!
-0.385	12445.         @MileyCyrus is on a very triky and slippery path right now.The right moves will lead to greatness, the wrong moves to oblivion! GUIDANCE.
-0.385	3981.            Other than a small group of people who have suffered massive and embarrassing losses, the party is VERY united. Great love in the arena!
-0.384	265.                Based on the fact that the very unfair and unpopular Individual Mandate has been terminated as part of our Tax Cut Bill, which essentially Repeals (over time) ObamaCare, the Democrats & Republicans will eventually come together and develop a great new HealthCare plan!
-0.383	4007.            Congratulations to my children, Don and Tiffany, on having done a fantastic job last night. I am very proud of you!
-0.383	8253.            I have been a guest on The View many times when it was  successful show. Now the show is dying for lack of ratings. Too bad!
-0.381	1940.            The two fake news polls released yesterday, ABC &amp; NBC, while containing some very positive info, were totally wrong in General E. Watch!
-0.38	1556.            At some point the Fake News will be forced to discuss our great jobs numbers, strong economy, success with ISIS, the border &amp; so much else!
-0.379	5952.            I look forward to being in Lowell, Massachusetts, today. I hear a very big crowd is expected--we will have lots of fun!
-0.378	54. Rep. Lou Barletta, a Great Republican from Pennsylvania who was one of my very earliest supporters, will make a FANTASTIC Senator. He is strong & smart, loves Pennsylvania & loves our Country! Voted for Tax Cuts, unlike Bob Casey, who listened to Tax Hikers Pelosi and Schumer!
-0.377	5241.            Marco Rubio lost big last night. I even beat him in Virginia, where he spent so much time and money. Now his bosses are desperate and angry!
-0.375	198.                Yesterday was another big day for jobs and the Stock Market. Chrysler coming back to U.S. (Michigan) from Mexico and many more companies paying out Tax Cut money to employees. If Dems won in November, Market would have TANKED! It was headed for disaster.
-0.374	274.                The Stock Market is setting record after record and unemployment is at a 17 year low. So many things accomplished by the Trump Administration, perhaps more than any other President in first year. Sadly, will never be reported correctly by the Fake News Media!
-0.373	11957.         I just got back from Russia-learned lots &amp; lots. Moscow is a very interesting and amazing place! U.S. MUST BE VERY SMART AND VERY STRATEGIC.
-0.373	4990.            Obama, and all others, have been so weak, and so politically correct, that terror groups are forming and getting stronger! Shame.
-0.372	14297.         Man, we had a great day today at Trump Tower - lots of money was given to many people who really needed it - good feelings and happiness!
-0.371	7073.            I have been leading big in all  polls, with two more today, @nbc and @CNN. The NBC poll is more than double next,  at 29%. Fiorina has 11%.
-0.371	5090.            Rubio is weak on illegal immigration, with the worst voting record in the U.S. Senate in many years. He will never MAKE AMERICA GREAT AGAIN!
-0.37	2567.            Last night in Orlando, Florida, was incredible - massive crowd - THANK YOU FLORIDA! Today at 3:00 P.M. I will be in Alabama for last rally!
-0.37	4217.            The opening of Trump Turnberry in Scotland was a big success. Good timing, I was here for BREXIT. Very exciting news conference today!
-0.37	6915.            I was so happy when I heard that @Politico, one of the most dishonest political outlets, is losing a fortune. Pure scum!
-0.37	7072.            I am attracting the biggest crowds, by far, and the best poll numbers, also by far.   Much of the media is totally dishonest. So sad!
-0.37	12574.         The only reason Obama gave a speech last night was because it was on the schedule-Putin is laughing and the reviews have been really bad!
-0.369	18187.         If my offer is refused, every undecided OH voter will be fully aware that Obama denied $5M to charity all because he is hiding something!
-0.369	14264.         @mikeluis93 Mark Cuban is a bully who is physically very soft and therefore should immediately stop wearing T shirts. No strength!
-0.368	9644.            President Obama, NOW, bring our 4000 innocent and ill-trained soldiers home from West Africa, before it is too late, AND STOP THE FLIGHTS!
-0.367	52. This will be a big week for Infrastructure. After so stupidly spending $7 trillion in the Middle East, it is now time to start investing in OUR Country!
-0.367	10368.         I am in Ireland inspecting my great and very beautiful Atlantic Ocean property. It is one of the most spectacular hotels anywhere! DOONBEG
-0.367	5917.            Will be at venue, in wonderful South Carolina, very soon. Big traffic back-up, tremendous crowd! Will be wild.
-0.367	7345.            Small crowds at @RedState today in Atlanta. People were very angry at EWErickson, a major sleaze and buffoon who has saved me time and money
-0.367	614.                The @TuckerCarlson opening statement about our once cherished and great FBI was so sad to watch. James Comey's leadership was a disaster!
-0.366	9443.            Many of the released Guantanamo detainees are now fighting for ISIS and other enemy groups.We need proper leadership before it is too late!
-0.365	5351.            @MELANIATRUMP did great on television this morning. Poised, smart and strong, with a big heart - so much to offer. We are all proud of you!
-0.365	18080.         Next year I will be changing the name of 800 acre Doral to Trump National Doral. It will be the best resort in the country—Miami is hot!
-0.365	8627.            The Oscars are a sad joke, very much like our President. So many things are wrong!
-0.363	5203.            Will be in Orlando, Florida, this afternoon. 25,000 people expected. This is a movement like our GREAT COUNTRY has never seen before!
-0.363	111.                Our economy is better than it has been in many decades. Businesses are coming back to America like never before. Chrysler, as an example, is leaving Mexico and coming back to the USA. Unemployment is nearing record lows. We are on the right track!
-0.363	14635.         Getting back to the nicer and more normal parts of life, Celebrity Apprentice is great tonight on NBC at 9. It will be a full two hour show!
-0.363	11120.         @TheEllenShow  Ellen, you should get rid of Andy Lassner - the guy has absolutely no imagination or talent. Good try last night!
-0.362	360.                GREAT EVENING last night in Pensacola, Florida. Arena was packed to the rafters, the crowd was loud, loving and really smart. They definitely get what’s going on. Thank you Pensacola!
-0.362	11980.         She is so sad and pathetic that I almost feel sorry for Sec.Sebelius. She has done great harm to many people and must be fired. Incompetent!
-0.362	18683.         As a big job creator, I was greatly honored to have been mentioned twice tonight during the debate.
-0.361	2946.            The results are in on the final debate and it is almost unanimous, I WON! Thank you, these are very exciting times.
-0.361	9040.            The Mar-a-Lago Club was amazing tonight. Everybody was there, the biggest and the hottest. Palm Beach is so lucky to have best club in world
-0.36	6165.            Wow, I just had two very good Iowa polls and a phenomenal just out National Poll from @ABC @washingtonpost - 38%.  MAKE AMERICA GREAT AGAIN!
-0.36	6421.            South Carolina was so great last night. Will be back soon!
-0.36	4132.            Senator Tom Cotton was great on Meet the Press yesterday. Despite a totally one-sided interview by Chuck Todd, the end result was solid!
-0.36	2118.            ObamaCare is imploding. It is a disaster and 2017 will be the worst year yet, by far! Republicans will come together and save the day.
-0.359	11959.         I'm in Moscow for Miss Universe tonight - picking a winner is very hard, they are all winners. Total sellout of arena. Big night in Russia!
-0.358	12281.         With President Obama it's all talk and no action. Our country is in desperate need of smart and decisive leadership before it is too late!
-0.356	348.                Things are going really well for our economy, a subject the Fake News spends as little time as possible discussing! Stock Market hit another RECORD HIGH, unemployment is now at a 17 year low and companies are coming back into the USA. Really good news, and much more to come!
-0.356	10525.         As I have said, the Tea Party is alive and well and fighting hard for the USA. BIG WIN TODAY!
-0.356	1363.            The very outdated filibuster rule must go. Budget reconciliation is killing R's in Senate. Mitch M, go to 51 Votes NOW and WIN. IT'S TIME!
-0.356	460.                The Consumer Financial Protection Bureau, or CFPB, has been a total disaster as run by the previous Administrations pick. Financial Institutions have been devastated and unable to properly serve the public. We will bring it back to life!
-0.356	1505.            My son Donald did a good job last night. He was open, transparent and innocent. This is the greatest Witch Hunt in political history. Sad!
-0.355	9756.            Here we go! I stated long ago that we should cancel all flights from West Africa. Now we have Ebola in U.S., AND IT WILL ONLY GET WORSE!
-0.355	2350.            Mexico has taken advantage of the U.S. for long enough. Massive trade deficits &amp; little help on the very weak border must change, NOW!
-0.354	6445.            We better get tough with RADICAL ISLAMIC TERRORISTS, and get tough now, or the life and safety of our wonderful country will be in jeopardy!
-0.354	131.                Tremendous investment by companies from all over the world being made in America. There has never been anything like it. Now Disney, J.P. Morgan Chase and many others. Massive Regulation Reduction and Tax Cuts are making us a powerhouse again. Long way to go! Jobs, Jobs, Jobs!
-0.354	7277.            Alabama was great last night, amazing people. 30,000 folks  was largest crowd of political season. Nice!
	
Top 100 Dimension 4 Positive 	
Dim.4	TWEETS
0.882	16136.         You've got something unique to offer--find out what it is. Ask yourself: What can I provide that does not yet exist? Innovation can follow..
0.879	12108.         You've got something unique to offer. Find out what it is. Ask yourself: What can I provide that does not yet exist?
0.81	10986.         For Entrepreneurs: A good question to ask yourself –“What can I provide that does not yet exist?”
0.806	10957.         Ask yourself: "What can I learn today that I didn't know before?" Always be a student, always be open to new ideas.
0.803	10251.         "No matter what you're managing, don't assume you can glide by. You have to work to maintain your momentum." - Trump: How to Get Rich
0.798	8668.            I still don’t know who I’m going to choose. @GeraldoRivera or @LeezaGibbons? Who do you like?  @ApprenticeNBC
0.796	16847.         I'll bet Lance Armstrong wishes he didn't do the interview with Oprah-- he's saying to himself "what was I thinking?"
0.781	3499.            Lyin' Hillary Clinton told the FBI that she did not know the "C" markings on documents stood for CLASSIFIED. How can this be happening?
0.772	11041.         Re Negotiation: Know what you want &amp; think about what the other side wants. Know where they’re coming from &amp; do not underestimate them.
0.757	14932.         Negotiation: Think about what the other side wants. Know where they’re coming from. Don't underestimate them. Create a win/win situation.
0.754	10362.         The more you know, the more you realize how much you don't know. How can you possibly discover anything if you already know everything?
0.749	18083.         What is your thought as to why Obama refused millions for charity and did not show his records and applications?
0.727	10361.         What can you learn today that you didn't know before? Set the bar high -- do the best you possibly can.
0.711	20278.         He @RickSantorum wants to decide what books people can read, what movies they can see. #freespeech  It doesn't work that way!
0.709	8488.            Entrepreneurs: When negotiating, don't be an open book. Know that the only person on your side might be yourself.
0.698	17168.         Just shows that you can have all the cards and lose if you don’t know what you’re doing.
0.694	5940.            Do you believe that @UnionLeader in NH was demanding ads? Look at enclosed letter from them, just received: https://t.co/NucdHBZAH9
0.693	12069.         I just don't know why some of these NFL teams with lousy quarterbacks don't give Tim Tebow a chance - what do they have to lose?
0.69	15513.         Re: Decisions:  Cover your bases, then ask yourself this question: "What am I pretending not to see?" This can save a lot of time &amp; trouble.
0.683	2957.            Want access to Crooked Hillary? Don't forget - it's going to cost you!#DrainTheSwamp #PayToPlay https://t.co/qjMBZkEnK9
0.683	8009.            Entrepreneurs: Ask yourself: What can I provide that does not yet exist? Be open to new ideas. Be innovative!
0.683	11323.         "If you can't say great things about yourself, who do you think will?" - Think Like a Champion
0.679	11733.         “If you don't have time to do it right, when will you have time to do it over?” - John Wooden
0.678	7407.            How can a dummy dope like Harry Hurt, who wrote a failed book about me but doesn’t know me or anything about me, be on TV discussing Trump?
0.676	15770.         "But why shouldn't I speak out? Don't you speak out in this country?" -  George Steinbrenner
0.674	12755.         Is everyone seeing how incompetently our country is being run by watching the mess with Syria? Our leaders don't know what they are doing!
0.671	12239.         How do you spend over $635M on websites and they don't work?
0.67	18648.         How long did it take for Obama to call Hugo Chavez and congratulate him on his 'reelection?' Who do you think Chavez supports in ours?
0.668	9068.            Entrepreneurs: Absorb, assess, and then act. Don't negate your own power. Whatever you've been dealt, know you can deal with it.
0.668	16404.         Re: immigration. Do the Republicans not realize that Dems will get 100% of 11 million votes no matter what they do?
0.666	4339.            How long did it take your staff of 823 people to think that up--and where are your 33,000 emails that you deleted? https://t.co/gECLNtQizQ
0.664	21668.         The original Apprentice is coming back--do you have what it takes to be the next Apprentice? For casting details: http://tinyurl.com/yly2c8u
0.662	19328.         China is cooking up conspiracy theories that the Olympics are rigged.  http://t.co/0ah0hBJt  They don't understand why they can't cheat.
0.657	14744.         Do you know how many years @TheRealMarilu starred on Taxi? #CelebApprentice
0.653	18986.         So Obama can host the Muslim Brotherhood Pres. Morsi in the White House http://t.co/WKhZV1Op  but doesn't have time for @netanyahu?
0.651	8465.            Entrepreneurs: Ask yourself: What am I pretending not to see? There may be some great opportunities right around you.
0.648	11926.         In a new poll a majority of people felt  the president "knowingly lied" about health care pledge. Who are the fools who don't think he lied?
0.646	10985.         Entrepreneurs:  Another question to ask yourself—“What am I pretending not to see?” There may be great opportunities right around you.
0.645	10369.         Ask yourself: What am I pretending not to see? There may be some great opportunities right around you.
0.645	5555.            America needs strong leadership. Politicians can talk but they don’t get things done. Video: https://t.co/YwZdQdzKcz https://t.co/lBXXyuZAcO
0.645	9767.            It wasn't only that Obama saluted a Marine with a cup of coffee in his hand, but why the hell does he have to exit a heli holding coffee?
0.638	19933.         If the press can report stories from @MittRomney's dorm years then why can't it find @BarackObama's college and law school transcripts?
0.635	4928.            How come the @TODAYshow &amp; @chucktodd show the new @NBCNews Poll for Hillary vs Bernie but do not show the SAME poll where I am killing Cruz?
0.634	19614.         Why is @BarackObama continuing to lie? http://t.co/arwFQ3xA has found that @MittRomney did not ship jobs overseas http://t.co/1fvw7Atm
0.633	10962.         Entrepreneurs: Pay attention to details. If you don’t know everything about what you’re doing, you'll be in for some big surprises.
0.632	21723.         Don't forget to enter the "Think Like A Champion" signed book and keychain contest: http://www.trumpthinklikeachampion.com/contest
0.631	20355.         He @BarackObama claims he does not want higher gas prices. That's not what he said in 2008:  http://t.co/0TAVuA4E
0.629	13687.         ObamaCare could "eat up your raise" http://t.co/V5ExFfIXHk Why isn't Congress defunding it? They're obsessed with amnesty.
0.628	1295.            Senator Mitch McConnell said I had "excessive expectations," but I don't think so. After 7 years of hearing Repeal &amp; Replace, why not done?
0.625	7222.            For those that don’t think a wall (fence) works, why don’t they suggest taking down the fence around the White House? Foolish people!
0.623	16446.         Ask: Is there anyone else who can do this better than I can?That’s just another way of saying know yourself &amp; know your competition.
0.621	776.                ...people not interviewed, including Clinton herself. Comey stated under oath that he didn't do this-obviously a fix? Where is Justice Dept?
0.613	20816.         "He thinks that the wealth you create belongs to the government--@BarackObama doesn't respect the fact that the (cont) http://t.co/D66nscyB
0.612	8391.            Entrepreneurs: Resolve to be bigger than your problems. Who's the boss? Don't negate your own power.
0.611	20651.         "People are smart. They know you can't be "for" jobs but against those who create them. It doesn't work." (cont) http://t.co/mypPDikz
0.608	8282.            How do you take care of our people if you don't make anything? We don't make anything. We are rapidly losing our manufacturing to China etc.
0.608	15641.         Pay attention to details. If you don't know every aspect of what you're doing, you're setting yourself up for some big surprises.
0.607	6256.            Thank you, Piers, they don't know what they're getting into.  https://t.co/UvKt1Go6nT
0.605	17467.         ...@Lord_Sugar  You need the income from the show to keep going--hope it doesn't hurt.
0.602	14454.         .@THEGaryBusey feels he’s been abandoned by his team. Do you think so? #CelebApprentice
0.602	1.     ....cameras running. Another False Accusation. Why doesn’t @washingtonpost report the story of the women taking money to make up stories about me? One had her home mortgage paid off. Only @FoxNews so reported...doesn’t fit the Mainstream Media narrative.
0.602	9245.            There is nothing @TrumpSoHo did not think about for the holidays - @RobbReport dives in: http://t.co/nVlWNuYHXq
0.599	12366.         Remember when Obama promised “you can keep your health care plan?” Not in these 10 states. http://t.co/4vxsEvPdon Another lie.
0.599	11211.         Ben Smith (is that really his last name?) of @BuzzFeed is a total mess who probably got his minion Coppins to do what he didn't want to do?
0.595	16655.         It all comes down to one simple question: How much money can you stand to lose? That’s how much risk you should assume.
0.592	17281.         "Donald Trump: GOP Has ‘Nuclear Weapon’ In Fiscal Cliff Negotiation, But They Don’t Know It" http://t.co/nOelhtkI via @mediaite
0.589	8855.            Which National Costume do you think should win? http://t.co/a2hpUlMF5K
0.589	8856.            Which National Costume do you think should win? http://t.co/yuJgB7yWGJ
0.589	8857.            Which National Costume do you think should win? http://t.co/oORVufxeWL
0.589	8858.            Which National Costume do you think should win? http://t.co/JUIOe6lRvs
0.589	8860.            Which National Costume do you think should win? http://t.co/bQkfZl7f5G
0.588	8552.            Entrepreneurs: Cover your bases. Know everything you can about what you're doing.
0.588	10315.         We should cut off all aid to every country that does not respect our border. Why are we giving them money in the first place?
0.587	12450.         The Democrats in Congress don’t want ObamaCare for themselves or big businesses. So why are they forcing it on the American people?
0.587	7906.            Entrepreneurs: Do not go where the path may lead, go instead where there is no path and leave a trail. -- Ralph Waldo Emerson
0.585	1622.            Obama Administration official said they "choked" when it came to acting on Russian meddling of election. They didn't want to hurt Hillary?
0.584	12659.         “Do you want to know who you are? Don't ask. Act! Action will delineate and define you.” -  Thomas Jefferson
0.583	2952.            Crooked took MILLIONS from oppressive ME countries. Will she give the $$$ back? Probably not. Don't forget her slog… https://t.co/esLgql0Gg8
0.582	8189.            Via @Newsmax_Media by “Donald Trump: Don't Give Obama Fast-Track Trade Authority” http://t.co/sB2ZogQUcz
0.581	938.                Democrats don't want massive tax cuts - how does that win elections? Great reviews for Tax Cut and Reform Bill.
0.579	8382.            Via @postandcourier by @skropf47: “Donald Trump: Don’t politicize Walter Scott shooting” http://t.co/DC4ERaL5Y0
0.579	12890.         "Donald Trump to Chris Christie: Don’t hire @stuartpstevens" http://t.co/uuevm2mNb6 via @politico by @Hadas_Gold
0.579	14471.         What apology, didn't they go around beating the crap out of people and robbing them? Why did they all confess? Aren't police convinced?
0.579	17394.         “There is no worse feeling than being trapped in a job you do not enjoy.  You have to love what you do.” - Think Big
0.578	19557.         I wonder why @BarackObama is not going to the NAACP Convention. Is it because he can't answer questions about 14.7% Black unemployment?
0.577	11134.         Do you believe this singing? #Oscars
0.576	8453.            Via @Newsmax_Media by @OwenTew: “Donald Trump: Kerry Has to Walk If Iran Doesn't Make Deal” http://t.co/EUgOIXNC0M
0.575	10401.         “The only way to do great work is to love what you do. If you haven’t found it yet, keep looking. Don’t settle.” – Steve Jobs
0.574	14749.         .@pennjillette doesn’t like @StephenBaldwin7’s cliché line and Stephen says Penn creeps him out. Do we sense conflict yet? #CelebApprentice
0.571	18432.         Can you imagine how embarrassing it would have been for the country if the candidates actually did get into a fist fight?
0.57	9086.            My @greta interview discussing why we do not need another Bush http://t.co/Jf3ywmViP2
0.569	18983.         No surprise. @DNC displayed Russian ships in tribute to vets http://t.co/Q6BpWj0I  Did they mean to honor the Russians?
0.568	9158.            Entrepreneurs: Cover your bases. Know everything you can about what you're doing. Then go with your gut. Your instincts r there for a reason
0.568	19283.         Scary thought--what is the pervert Anthony Weiner doing with all the free time he has. Does he collect unemployment?
0.567	12795.         Why would anyone think Obama would attack Syria the day of his speech in Washington. He doesn't want to detract from his press &amp; glory.
0.567	7443.            .@GovernorSununu who couldn't get elected dog catcher in NH forgot to mention my phenomenal biz success rate: 99.2% https://t.co/WsA3Jnjhwa
0.567	21185.         @JonHuntsman has zero chance of getting the nomination. Whoever said I wanted to meet him? Time is money and I don't waste mine.
0.565	7908.            Entrepreneurs: Don’t sell yourself short. Don’t ever think you’ve done it all already or that you’ve done your best.
0.565	15141.         .@StephenBaldwin7 thinks @TheRealMarilu is ping-ponging all over the place. Do you agree? #CelebApprentice
0.565	19532.         If @BarackObama had such a wonderful academic record why wouldn't he want to show it?
