Top 100 Dimension 2 Negative 	
-0.533	9459.            Via @golf_com by @joepassov: “@TrumpFerryPoint Will Be One of Nation's Best Public Courses”   http://t.co/5Nh6c4ev9D
-0.532	12134.         Winner of the 5 Star Diamond Award, @TrumpGolfLA brings luxury &amp; elite amenities to LA's top public golf course http://t.co/MYiwkyfiVU
-0.53	9247.            Congratulations to @TrumpNewYork for being named #1 Best Business Hotel in NYC in @TravlandLeisure's 2014 World's Best Business Hotels.
-0.528	3235.            CLINTON’S CLOSE TIES TO PUTIN DESERVE SCRUTINY:https://t.co/wPYm5vQoyt #VPDebate
-0.527	18263.         RT @APCampaign:Trump to Obama: $5 million donation to charity if you release passport and college records http://t.co/Cn8bn9LH #Election2012
-0.525	3232.            Clinton’s Top Aides Were Mired In Conflict Of Interest At The State Department: https://t.co/wWfdaECtVu#VPDebate #BigLeagueTruth
-0.525	11625.         Via @theblaze by @BillyHallowell:“DONALD TRUMP BLASTS OBAMA FOR FAILING TO SECURE CHRISTIAN PASTOR’S FREEDOM IN IRAN” http://t.co/WAANzqPvYf
-0.524	10366.         A testament to American ingenuity @TrumpTowerNY shines over Fifth Avenue as one of NYC’s most iconic buildings http://t.co/X4AqbiovV5
-0.521	8789.            “Donald Trump 2016: 7 Political Stances of GOP Presidential Hopeful” http://t.co/oC3ku4IHvI via @Newsmax_Media
-0.521	8957.            Via @Newsmax_Media: “Donald Trump 2016: 8 Facts About Personal Life of GOP Presidential Hopeful”http://t.co/uE5GCm5Npw
-0.518	8983.            Via @thestate by @andyshain: “Donald Trump joins other 2016 prospects speaking at SC Tea Party Convention”http://t.co/cMriNEirEU
-0.518	8672.            Via @BreitbartNews by @mboyle1: "DONALD TRUMP: MSM INVESTIGATION INTO SCOTT WALKER’S COLLEGE A ‘DOUBLE STANDARD’"http://t.co/AmWWjaeh3f
-0.518	7195.            LIVE on #Periscope: Watch major press conference live from @TrumpTowerNY now! #MakeAmericaGreatAgain https://t.co/wwdgQKEHD3
-0.517	10085.         One of @GolfWorldUS’ top public courses, @TrumpGolfLA's course stands as a testament to the greatness of golf http://t.co/L3a3vqaoQc
-0.517	13874.         Via @CNNMoney by @jtotoole: “U.S. taps Donald Trump to convert DC's Old Post Office into luxury hotel” http://t.co/btYN9USGyo
-0.513	12662.         Via @MiamiHerald by Hannah Sampson: “BLT Prime coming to Trump’s Doral resort” http://t.co/d0cGnTLpzy
-0.512	2990.            LIVE FACT-CHECK: Trump's RIGHT. The Clinton Foundation has taken MILLIONS from the Middle East. #DrainTheSwamp https://t.co/Kgcaf5tdTM
-0.512	8514.            ICYMI, “Raw video: Donald Trump speaks at Rep. Steve Stepanek's Amherst reception” http://t.co/iccd40yKLg via @wmur9
-0.511	3258.            Join me in Reno, Nevada on Wednesday at 3:30pm at the Reno-Sparks Convention Center! #MAGATickets:… https://t.co/G0NvFLQWgS
-0.51	2825.            'Hillary's Two Official Favors To Morocco Resulted In $28 Million For Clinton Foundation' #DrainTheSwamphttps://t.co/6qOO7FZSvF
-0.509	8743.            MUST READ @IBDeditorials: “President Obama's Amnesty At Any Price” http://t.co/udlYbnZgWZ Congress - Use the Power of Purse! Defund Amnesty!
-0.509	3233.            .@HillaryClinton’s Careless Use Of A Secret Server Put National Security At Risk: https://t.co/OiAEMnrGcy #VPDebate#BigLeagueTruth
-0.508	9109.            In Charlottesville, VA, @trumpwinery is Virginia’s largest winery with 200 acres of French vinifera varieties http://t.co/Vm6chhyqJJ
-0.508	9246.            Congrats @TrumpChicago for being named #3 Best Business Hotel in Chicago in @TravlandLeisure's 2014 World's Best http://t.co/Dlq7BDhqXm.
-0.506	15823.         My @foxandfriends re: the sequestration, failure of leadership in DC, China playing us &amp; taking over in 2016 http://t.co/afsPIhiTrj
-0.505	19476.         With 15% US real unemployment and a 16T debt, @Michelle Obama's luxurious Aspen vacation - her 16th - cost us over $1M http://t.co/CVPNrEmD
-0.505	10500.         92 stories above North Michigan Avenue, @TrumpChicago’s 5-Star @Forbes rated rooms have the best views of Chicago http://t.co/96SdHC5sfS
-0.505	10446.         The exclusive home of @PGATOUR's @CadillacChamp, @TrumpDoral sits on 800 beautiful acres in the center of Miami http://t.co/C43Bp0kbNx
-0.505	10451.         The exclusive home of @PGATOUR's @CadillacChamp, @TrumpDoral sits on 800 beautiful acres in the center of Miami http://t.co/C43Bp0kbNx
-0.503	8072.            Via @TWtravelnews by Robert Silk: “Renovations make Trump's Doral a showcase once again” http://t.co/wFIL90xE0q
-0.502	20641.         My @SquawkCNBC interview from earlier in the week discussing the GOP primary and @newtgingrich's electability http://t.co/k9G6LhAA
-0.502	8827.            A huge honor for @TrumpToronto for being named #1 Luxury Hotel in Canada by @TripAdvisor's #TravelersChoice Awards http://t.co/hR6kBhUwBS
-0.502	21687.         Donald Trump Partners with TV1 on New Reality Series Entitled, Omarosa's Ultimate Merger: http://tinyurl.com/yk5m3lc
-0.501	13895.         Via @FoxSportsGolf: "Trump's protégé earns US Open spot" http://t.co/j7zTv8BLWZ
-0.5	21697.         Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9
-0.5	8781.            Via @BreitbartNews by @THESHARKTANK1: "DONALD TRUMP FIRES ENTIRE 2016 GOP FIELD" http://t.co/Lc5VxAKh6K
-0.499	18254.         "TRUMP’S BIG ANNOUNCEMENT: HE’LL GIVE $5 MILLION TO CHARITY OF OBAMA’S CHOICE IF..." http://t.co/nnRuiikv By @billyhallowell @theblaze
-0.499	8895.            "AIR FORCE TRUMP: AHEAD OF 2016, THE DONALD SLAMS ROMNEY, BUSH IN SOUTH CAROLINA" http://t.co/DIMQdF1nxC via @BreitbartNews by @mboyle1
-0.499	4538.            #VoteTrump at clerk's offices &amp; 185 ballot drop boxes in #ORPrimary!Closes at 8pm! https://t.co/ESGg1Qu68Shttps://t.co/TqcNAWjP5l
-0.499	6416.            Credible Source on 9-11 Muslim Celebrations: FBIhttps://t.co/UICDNcftJS via @WKRG
-0.498	2222.            Welcome to the United States, @IsraeliPM Benjamin &amp; Sara!#ICYMI🇺🇸🇮🇱Joint Press Conference: https://t.co/GN6ALWUusN https://t.co/bH60nBL5FP
-0.497	6077.            NPR's @NealConan said "schlonged" to WaPo re: 1984 Mondale/Ferraro campaign: "That ticket went on to get schlonged at the polls." #Hypocrisy
-0.497	9796.            With $250M of renovations, Trump Int'l DC’s 250 expansive guest rooms will be DC's top offering of amenities &amp; views http://t.co/fruEPjLajZ
-0.497	13945.         FLASHBACK: Donald Trump Answers Boy's Prayer for New Bike http://t.co/dGtrcHr5WO via @FoxNewsInsider
-0.496	21698.         Watch the Miss Universe competition LIVE from the Bahamas - Sunday, 8/23 @ 9pm (ET) on NBC: http://tinyurl.com/mrzad9
-0.495	3481.            'Donald Trump leads Hillary Clinton by 19 points among military, veteran voters: poll' #AmericaFirst #MAGAhttps://t.co/5FmxGtLkwt
-0.494	8897.            Via @CarolinaLive by @JoelAllenWPDE:“Big names wrap up largest ever SC Tea Party Coalition Convention” http://t.co/52xCeywzZp
-0.492	14245.         .@TrumpNationalNY is NY's best golf club. A 5 Star Diamond Award winner w/ an elite golf course &amp; top facilities http://t.co/XCgycLQa3H
-0.492	8602.            Via @UnionLeader by @tuohy: "Trump hires Lewandowski as presidential run eyed" http://t.co/stZOllcBqA #FITN #MakeAmericaGreatAgain
-0.492	9054.            Via @CarrGaz: “Trump’s grand plans for @TrumpTurnberry resort get the green light” http://t.co/fy8hH8k6KP
-0.492	3082.            🚨BREAKING🚨: "State Department's Kennedy pressured FBI to unclassify Clinton emails: FBI documents"https://t.co/GYYaneeysA
-0.492	3777.            STATEMENT IN RESPONSE TO PRESIDENT OBAMA'S FAILED LEADERSHIP: https://t.co/SPgFIFuSO7
-0.492	9774.            Via @HorsetalkNZ: “NY’s Central Park Horse Show a huge success”  http://t.co/IiFjSYuPYv
-0.491	17077.         Watch Eric at 9 am (EST) today on Fox 5 w/ @rosannascotto and David Price to discuss Eric Trump Foundation's $20 million donation to St Jude
-0.491	8222.            Via @washingtonpost’s @goingoutguide by @timcarman: “ @gzchef open the National at the Old Post Office Pavilion” http://t.co/v0dF83ZlGK
-0.49	21518.         ALso coming up: The Celebrity Apprentice returns. Sunday night March 6 at 9 pm EST http://www.nbc.com/the-apprentice/
-0.488	20020.         My interview with @NYDNGatecrasher discussing @BarackObama's #WHCD and my endorsement of @MittRomney http://t.co/Le6O3n4b
-0.487	17376.         “Donald Trump’s Miss USA Pageant Scores $5 Million Legal Victory Following Rigged Claims” http://t.co/FeYJJi2A via @eonline
-0.486	3072.            Join me in Colorado Springs, Colorado tomorrow at 1:00pm! #MAGA Tickets: https://t.co/ktFk8RuaUK
-0.486	3257.            Join me in Reno, Nevada tomorrow at 3:30pm! #AmericaFirst #MAGATickets: https://t.co/DJ7JJUkkz7
-0.486	5722.            Join us in Iowa, tomorrow! #IACaucus #Trump2016 #MakeAmericaGreatAgain 3:00pm: https://t.co/cWQKRAgqfX 7:30pm: https://t.co/v2Ejh0TweS
-0.486	21694.         Read Donald Trump's Top Ten Tips for Success: http://tinyurl.com/mcn8yl
-0.485	10084.         .@nypost: “Dozens of key staffers fleeing @AGSchneiderman’s office” http://t.co/dG79uRFhSi
-0.484	9014.            Via @latimes’ @LATshowtracker:“Monday's TV Highlights:@ApprenticeNBCon @nbc”http://t.co/8C3qcKbYbQ
-0.484	15972.         Via @kmovnewsfeed: "Photos: Tour Donald Trump's NC golf club" http://t.co/ZN5bPimk
-0.483	1600.            #ICYMI- on Monday, I had the great honor of welcoming India's Prime Minister @narendramodi to the WH. Full Remarks:… https://t.co/7IIQEh7xXv
-0.483	19688.         My @SquawkCNBC interview re: Europe's financial mess, investing in Spain, Germany's economy and the future of the Euro http://t.co/MtwYtrNz
-0.483	14129.         Via @advisorsource: "Donald Trump speaks in Novi, drawing largest crowd in Oakland County Republican Party's history"http://t.co/GSzXcz2hqz
-0.481	15323.         "Trump at CPAC: 'We Have to Get the Momentum Back'" http://t.co/jOr15wfw1X via @WSJ's @WSJVideo
-0.481	18122.         Part 1 of my @jimmyfallon interview discussing my $5M offer to Obama, #TRUMP Tower atrium, my tweets &amp; 57th st. crane http://t.co/AvLO9Inf
-0.481	10927.         If traveling to the Windy City to celebrate 100th anniversary of Wrigley Field @TrumpChicago is Chicago’s #1 hotel http://t.co/2mPwSPrDtz
-0.48	16111.         “Donald Trump on Mark Levin: Karl Rove is one of the most overrated people in politics” http://t.co/nmKm5cTF via @TheRightScoop
-0.48	19715.         My @IngrahamAngle interview discussing @JebBush's comments, a united 2012 GOP, #CelebApprentice &amp; Trump#Miss Universe http://t.co/iV3bM8LD
-0.479	8271.            My @msnbc int w/ @krystalball at #WHCD on my 2016 timetable, saving Social Security &amp; Making America Great Again! http://t.co/LD2FarV2Vg
-0.479	19122.         My @SquawkCNBC #TrumpTuesday interview discussing the 2012 election, OPEC ripping us off &amp; @MittRomney's job policy  http://t.co/E42phpQq
-0.478	2964.            The Washington Times Presidential Debate Poll:TRUMP 77% (18,290)CLINTON 17% (4,100)#DrainTheSwamp #Debate https://t.co/wsgsf5nv6H
-0.477	9190.            Congratulations to @TrumpPanama for being named one of the “Best of +VIP Access” hotels for 2014 by @Expedia!http://t.co/cREGfHwlbe
-0.477	9491.            The perfect getaway, @Trump_Ireland is Europe's most elite 5-star destination perfected with old-world luxury http://t.co/55F5MAd5wu
-0.477	14667.         Featuring top spa in New York, AAA Five-Diamond Award @TrumpSoHo is Soho’s most elite hotel &amp; destination spot http://t.co/tkKliU7bxu
-0.477	19903.         SHOCK! While attacking @MittRomney's private equity experience, @BarackObama raises $2M from private equity bankers http://t.co/aYUkRiKy
-0.476	17337.         Via @AP: "Miss USA Olivia Culpo is crowned Miss Universe"  Ratings increase 15% over last year. http://t.co/WZLt2SOx
	
Top 100 Dimension 2 Positive 	
Dim.2	TWEETS
0.653	16566.         @RaydelMusic  That's great--you will love what we are doing!
0.647	18178.         @DonnyDeutsch tries so hard to be a star. But, he just doesn't have what it takes...and he never will.
0.629	13068.         @SmuMom54 He should meet him &amp; beat him--but that doesn't look like it's going to happen.
0.625	14267.         @african11   But I love insulting people who don't have the goods but think they do!
0.61	13607.         @lbenson3 You're right, it's beautiful--thanks!
0.608	15661.         Remember, no one ever said success was easy.Good luck doesn’t come overnight.But if u work hard &amp; love it, u will find success &amp; luck.
0.6	14547.         As everybody knows, but the haters &amp; losers refuse to acknowledge, I do not wear a “wig.” My hair may not be perfect but it’s mine.
0.595	17486.         @piersmorgan @Lord_Sugar   I easily could but as long as Sugar is making me money (it's my show) I won't--unlike Sugar, I'm not stupid!
0.595	15285.         @JackVoices   You are correct, but he is so easy!
0.595	12844.         @MichaelPMulhall @CNBC I don't think he can!
0.592	14322.         Wow, I love stimulating debate and driving certain people crazy-the Generals were forced to do something they didn't want to do (not me).
0.588	12647.         @Midgespeaks  I want him to do a great job but he can't.
0.584	16828.         @AMalfas  She can't but I adore her.
0.572	14527.         @TatorJuice   Wow, so nice! Thanks, I wish I could have met him.
0.572	17849.         @natrat86  Don't be scared--we will come back.
0.57	12490.         @Phil_Grech Your not free, you'll never be free. You'll be back (if you ever left) because you can't help yourself!
0.569	12618.         @LonghornHomer  He is not smart enough to understand!
0.568	14480.         @loverofthecross I don't hate him but he made some really bad decisions.
0.56	15231.         "You can have the best product in the world, but if people don't know about it, it's not going to be worth much."  The Art of The Deal
0.56	17844.         "You can have the best product in the world, but if people don't know about it, it's not going to be worth much." - The Art of the Deal
0.556	14463.         @DBradleyRI   You are a great looking guy who is really smart - you can do much better than your current girlfriend - she's nothing!
0.554	6621.            @BillKristol has become a sad case. His magazine is failing badly, probably doesn't have long to go, and his predictions are always wrong!
0.554	20468.         @dansalbreiter   Maybe they don't want to.
0.553	18012.         .@mcuban Baseball commissioner and owners were smart when they didn’t want you to buy a team--- but I don’t think you have the money anyway.
0.55	16149.         @TheJBish @billmaher You are right but I always believe in hitting back--and thanks.
0.547	14481.         @Mbathani_Inc Much can be done and it would be easy!
0.547	16697.         @BillKingLanark @dkberman @mathewi  That's true and I love it!
0.545	13675.         Call it any way you like, but Snowden is a traitor. When our country was great do you know what we did to traitors?
0.545	13954.         @PartylikeRlove1 You don't need me--Mar-a-Lago is the best &amp; most beautiful place to get married. If I'm there I'll stop by. Congrats!
0.545	15963.         @Barbaric_Yawwp.  Sadly, it's worthless!
0.544	10227.         Remember the old saying "The more you learn, the more you realize you don't know" -- it's true. Learning is a daily challenge.
0.544	18913.         @rdowns I never went bankrupt. Enemies love to say I did. Didn't happen.
0.543	19193.         It's sad to see once decent newspapers like @USAToday failing so badly. I just don't know if they can be saved.
0.542	8668.            I still don’t know who I’m going to choose. @GeraldoRivera or @LeezaGibbons? Who do you like?  @ApprenticeNBC
0.542	13329.         @YashKandhari        "@realDonaldTrump I'll say it again, your tweets are very motivational &amp; inspiring. Thank you so much" Thank you.
0.542	11418.         @rodstowell73  They are all afraid to use it because they know what will happen - thanks!
0.542	16784.         @tubby511 @BarackObama  He is too smart to do that!
0.541	14560.         @GerhardM_com   Perhaps, but the Country is in really big trouble!  I do love real estate though (and am seriously good at it).
0.54	12223.         @AlyssaMenasci You have to have passion for your work. That's crucial. Then focus on it and don't give up.
0.537	16136.         You've got something unique to offer--find out what it is. Ask yourself: What can I provide that does not yet exist? Innovation can follow..
0.535	17511.         @OrangeTrump @apoliticalbear @ForQ2 @danabrams  Don't be so sure!
0.533	10480.         @MattGinellaGCSadly Matt, you don't understand golf (even though you think you do).I have numerous couses that are far superior to Pinehurst
0.533	17799.         @Korkyelmst  You are very nice, thank you.
0.532	14559.         @bitchforshort  Victim never died so they would not have been given death penalty-but did you see what these "innocent" boys were doing?
0.531	9727.            I don't know what it is, but I'm getting totally bored watching NFL football. Too many penalties and far too soft! T.V. off and back to work
0.527	11405.         For great success, you need passion, but make sure it's well directed. Learn everything you can about what you're doing. Be an expert.
0.524	16077.         @MichaelJDGregor  You're absolutely right.
0.522	18477.         Obama keeps saying that he will do something--- but why hasn't he done it? It's all talk.
0.522	18410.         @loveandgarbage  Dopey--who went bankrupt, you? I never did.
0.521	2520.            Happy New Year to all, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. Love!
0.52	18944.         @Josh_Beaupre  Josh--Thanks, I think you're right.
0.52	18854.         @jtatsuno  It's real.
0.518	4019.            President Obama just had a news conference, but he doesn't have a clue. Our country is a divided crime scene, and it will only get worse!
0.518	17168.         Just shows that you can have all the cards and lose if you don’t know what you’re doing.
0.517	13994.         @Katdhairstudio Thanks, but I don't feel like it--work too hard!
0.516	17178.         @alancravey  That is something to think about, isn't it!
0.516	17089.         @caarlatwiter  She's fantastic.
0.513	16686.         @sbair115 @gretawire  They call me names but that's ok?
0.51	18241.         @michellemalkin I fully supported McCain but when he lost, hoped Obama would be great for U.S. --- he wasn't.
0.51	18175.         @BernardMcGuirk. That's more than O'Reilly did ...and he is supposed to be my friend. You're terrific!
0.506	17652.         Networks are all wanting me to do shows—like it or not a “ratings machine”! –but time, I run a really big company!
0.505	10362.         The more you know, the more you realize how much you don't know. How can you possibly discover anything if you already know everything?
0.505	14818.         @MdAhGOD Not much, it's too easy!
0.504	17851.         It’s amazing how people can talk about me but I’m not allowed to talk about them.
0.503	13235.         @tuserious854 I love what I do. You have to have passion for your work in order to be successful. That's number one.
0.503	12464.         @OriginalArts1  Thank you, it is great. You have real talent!
0.502	13117.         @DianeJackson9 If you love what you're doing, the energy and passion will be there. It's the best way to succeed.
0.501	20484.         @HangersMensLine  My agenda is such that I can't meet with you, but it's always nice to be asked and I wish you the best.
0.5	17885.         She’s baaack! @Rosie needs me to salvage her dying career. But it won’t help-- she’s got no talent &amp; no persona. Too many tv cancellations!
0.5	17848.         @jackmarkou @CelebApprentice @piersmorgan  He is on and he's great!
0.5	16436.         @Brendamckinley  They were amazing, thanks!
0.499	446.                Melania, our great and very hard working First Lady, who truly loves what she is doing, always thought that “if you run, you will win.” She would tell everyone that, “no doubt, he will win.” I also felt I would win (or I would not have run) - and Country is doing great!
0.499	141.                Democrats have shut down our government in the interests of their far left base. They don’t want to do it but are powerless!
0.499	1740.            Do you notice we are not having a gun debate right now? That's because they used knives and a truck!
0.498	14265.         @Lord_Sugar can't hold a.candle to Donald.Trump - he is a laughing stock in Great Britain (but his show pays me lots of money, so I'm happy)
0.498	13249.         @TrumpDoral @RealJoeBrady It will really be amazing when complete.
0.498	13502.         @IAMAASHKA    Thanks, it will be great.
0.498	17576.         @Alkiwaves Thanks, it will be great.
0.495	15753.         @Trish3D @TraceAdkins @CelebApprentice @RedCross  He's great!
0.495	13763.         @rtwing1020  Thanks--it will be great.
0.495	17682.         @BrainyRedhead @CelebApprentice @TraceAdkins Thanks--it will be great.
0.494	14866.         Don't negate your own power. Whatever you've been dealt, know you can deal with it. Fear is the opposite of faith.
0.493	2165.            Jeff Sessions is an honest man. He did not say anything wrong. He could have stated his response more accurately, but it was clearly not....
0.492	8400.            .@JohnLegere  T-Mobile service is terrible! Why can't you do something to improve it for your customers. I don't want it in my buildings.
0.492	14063.         @DannyZuker Bigger means bigger dummy, you really are stupid, aren't you!
0.491	17677.         "It’s more important to be smart than tough. I know businessmen who are brutally tough, but they’re not smart.” – Think Like A Billionaire
0.491	12447.         @Miranda_Diplo              "I like Hilary Clinton. She is very admirable. But @realDonaldTrump is our nation's answer." Thanks.
0.489	10771.         .@sethmeyers  Seth can't help it - he is really trying hard but just doesn't have what it takes. Very awkward and insecure!
0.488	17694.         @PaulBocian Thanks, it was wonderful.
0.487	5754.            The only reason irrelevant @GlennBeck doesn't like me is I refused to do his failing show - asked many times. Very few listeners - sad!
0.487	17092.         @conniegrn777 @AlabamaFTBL  You should--they are great!
0.487	16443.         @ErolYalim  Could be true--thanks.
0.487	17625.         @sbowlin1  Thanks--you will love it.
0.485	14724.         @sonoman24 @stephenbaldwin @ApprenticeNBC  I was not thrilled but left them in because the show is real.
0.484	10823.         “I'm not afraid of failing. I don't like to fail. I hate to fail. But I'm not afraid of it.” - @VinceMcMahon
0.483	14663.         Being tough doesn’t mean being nasty, difficult, or unreasonable. It means being tenacious and refusing to give in or give up.
0.482	12748.         Obama now just wants to save face, Russia is now telling him "don't do it". He waited too long and the other side is much better prepared.
0.482	14539.         @DPMurphy93 That's true--they all ask!
0.481	11517.         Did you ever not do something that had you done it would have turned out to be a disaster. Never look back, just learn from your experience!
0.481	15054.         @CreelKen  Hope I do well!
