Top 100 Dimension 3 Negative 	
-0.44	17918.         It is that time of the year.  The Trump Wollman Skating Rink is open to the public in Central Park.  The greatest ice rink in the country.
-0.438	10798.         It is also amazing how comments can be edited to provide statements that are used in a knowingly incorrect manner.
-0.436	20543.         ObamaCare is an attack on our country's identity. The latest victim is the Catholic church. It must be full repealed. @BarackObama
-0.436	8554.            Being good in business is the most fascinating kind of art. Making money is art &amp; working is art &amp; good business is the best artAndy Warhol
-0.435	19733.         The Justice Department's investigation into the national security leaks is not independent. This is a very grave situation.
-0.433	1642.            Former Homeland Security Advisor Jeh Johnson is latest top intelligence official to state there was no grand scheme between Trump &amp; Russia.
-0.432	19582.         Why is @BarackObama constantly issuing executive orders that are major power grabs of authority? This is the latest http://t.co/4IVBckTE
-0.429	20999.         @Israel faces an existential threat in Iran's nuclear drive. Unfortunately @BarackObama is no friend of Israel.
-0.425	8227.            Just got back from Las Vegas. @TrumpLasVegas Hotel was fantastic in every way, but the fight was a total waste of time. The aggressor lost?
-0.422	10050.         .@WineEnthusiast’s highest rated wine in Virginia, @trumpwinery is the premier name in sophistication and quality http://t.co/Tas3Dhp9hH
-0.421	14959.         With the impending crisis in Korea, is it a big confidence builder that Chuck Hagel is Sec. of Defense? Elections have consequences.
-0.421	19104.         Book on Bin Laden is a terrible violation of code--makes @BarackObama's story a big lie.
-0.421	2228.            This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.
-0.421	1319.            United Nations Resolution is the single largest economic sanctions package ever on North Korea. Over one billion dollars in cost to N.K.
-0.42	13324.         This is the summer of box office bombs.  Who is green lighting this garbage? The scripts are terrible.
-0.419	16284.         .@karlrove’s ad is the best thing that ever happened to Ashley Judd—simply increases her profile.
-0.419	19496.         Since @BarackObama is on such a "transparency" kick--how about releasing Fast &amp; Furious info to Brian Terry's family?http://t.co/dAFnZBvA
-0.418	8306.            The Trans-Pacific Partnership is an attack on America's business. It does not  stop Japan's currency manipulation. This is a bad deal.
-0.418	11277.         "Realize that an entrepreneur's most important gift to the world is jobs, security, and well-being for others." - Midas Touch
-0.418	13105.         The Trump Organization is honored to have been awarded the redevelopment of The Old Post Office. Will be DC's finest hotel.
-0.417	15196.         ... It is very effective and a commonly used business tool.
-0.415	13365.         @elbatata_ok The Art of the Deal is a good introduction.
-0.414	10607.         “The greatest discovery of all time is that a person can change his future by merely changing his attitude.” - @Oprah
-0.414	18411.         "The biggest thrill in the world is entertaining the public, there is no bigger thrill than that." --Vince McMahon @WWE
-0.413	19559.         "Free enterprise is still the greatest force for upward mobility, economic security, and the expansion of the middle class." - @MittRomney
-0.412	10851.         The biggest winner of Obama’s ’08 win --- Vladimir Putin. Ultimately he could be tied with Iran after Tehran becomes a nuclear power.
-0.411	17572.         Congratulations to David Wright on signing a long term extension with the @Mets.  David is an exceptional player and person.
-0.411	7237.            Who wants the endorsement of a guy (@EricCantor) who lost in perhaps the greatest upset in the history of Congress?
-0.41	15390.         Good move by @MSNBC in downgrading @WeGotEd to a dead weekend spot. This is truly a guy who shouldn't be on tv.
-0.408	4006.            Bill Hemmer of @FoxNews was very nice in explaining the excitement and energy in the arena. More than in past years.
-0.408	17230.         The party of the year in Palm Beach was the New Year's Eve celebration at the Mar-a-Lago Club--it was amazing. http://t.co/3GS4mh7C
-0.407	18954.         "Nothing is so permanent as a temporary government program." -- Milton Friedman
-0.407	6452.            .ccolvinj @AP is one of the truly bad reporters---working for an organization that has totally lost its way. Stories are fictional garbage.
-0.407	18904.         None of Romney's leaked comments change the fact that Obama is a complete disaster. 20% real unemployment and $6T in deficit spending.
-0.405	21299.         China's corporate espionage is a continued threat to the American economy. With the right leadership, it can be stopped.
-0.404	19839.         The greatest commodity to own is land. It is finite. God is not making any more of it.
-0.404	15074.         The new selection of ties, shirts and suits at Macy's is amazing - also available in Trump Tower lobby.
-0.403	9065.            Latin America’s tallest building @TrumpPanama is the perfect getaway location to celebrate the New Year in luxury http://t.co/1tBH7N7pZ8
-0.402	15307.         Great article by @jameshohmann @politico explaining why @KarlRove was biggest loser @CPACnews http://t.co/QHnym5AjPG James is sharp.
-0.401	20922.         Why is the GOP establishment so threatened by the Newsmax - @iontv debate? More debate is always better.
-0.4	11326.         “The cheapest natural gas in the world is in the United States.” - @boonepickens
-0.399	10167.         Youth unemployment is at a record high. ObamaCare is a job destroyer which is ruining aspiring careers. It must be repealed.
-0.399	11570.         The Trump Signature Collection is the best menswear design for young entrepreneurs. Great style &amp; design exclusively available @Macys.
-0.399	10181.         This summer is very tough for the nation’s worst AG @AGSchneiderman. Moreland Commission is his disaster.
-0.398	19643.         It is terrible that @BarackObama did not appoint an independent counsel to investigate the national security leaks. No accountability.
-0.398	3620.            The reporting at the failing @nytimes gets worse and worse by the day. Fortunately, it is a dying newspaper.
-0.398	20285.         Congratulations to @BarackObama for being reckless. In his first 38 months in office the debt has grown at a rate that is unthinkable.
-0.398	13089.         "Patience is the greatest of all virtues." -- Cato
-0.397	20500.         Congressional Black Caucus Chairman Emanuel Cleaver is right. @BarackObama's budget is a "nervous breakdown on paper."http://bit.ly/zyDytZ
-0.397	12124.         The most luxurious hotel in downtown Manhattan, @TrumpSoHo is a top destination http://t.co/tkKliU7bxu
-0.396	18801.         .@Matt_Berry87  Piers did a great job--the interview was very important.
-0.396	10100.         “The belief that security can be obtained by throwing a small state to the wolves is a fatal delusion.”-Winston Churchill
-0.395	18668.         Bill Clinton has been Obama's most effective surrogate out on the trail.
-0.395	18496.         .@washtimes "@BrettMDecker: Five Questions w/ @realDonaldTrump--'Lack of Leadership is the biggest threat to America'" http://t.co/CcRkSlHY
-0.394	14003.         The new amnesty bill is over 1000 pages.  It is another monstrosity a la ObamaCare.
-0.394	8433.            Congress must stop Obama’s reckless deal with Iran. The framework is a pathway for Iran to develop nukes.
-0.394	13352.         Some good news for New York – Weiner has dropped 12 points in the polls &amp; that is before more of the pervert’s old texts are released.
-0.394	20912.         Happy to have @ralphreed and the FFC's endorsement of the Newsmax-@iontv debate. FFC  is a great organization.
-0.393	10187.         Making money is art and working is art and good business is the best art. -- Andy Warhol
-0.393	18114.         .@Disney's acquisition of Lucas Film is a smart deal for both sides.  Disney just bought a great brand which will keep producing revenue.
-0.392	13848.         “The risk of a wrong decision is preferable to the terror of indecision.” – Maimonides
-0.392	8548.            An investment in knowledge pays the best interest. -- Benjamin Franklin
-0.392	8715.            An investment in knowledge pays the best interest. -- Benjamin Franklin
-0.392	11272.         "An investment in knowledge pays the best interest."-- Benjamin Franklin
-0.391	21428.         @johnboehner Debt Ceiling- "Sometimes no deal is better than a bad deal."
-0.391	7270.            Jeb Bush is weak on illegal immigration, in favor of common core, bad on women's health issues and thinks the Iraq war was a good thing.
-0.391	9915.            Fact – Obama still has not fixed the backend of the ObamaCare website. This could be the greatest internet boondoggle in history.
-0.39	13508.         Why should ObamaCare be delayed for businesses and not working families?  With premiums rising at record levels, it is not equitable.
-0.39	11599.         @Macys  The Donald J. Trump signature line of shirts, ties, really beautiful suits and cufflinks is the best Christmas &amp; holiday gift by far
-0.39	10742.         Great decision by @SpeakerBoehner in placing @TGowdySC as chairman of the Benghazi select committee. Gowdy is a seasoned prosecutor.
-0.39	20397.         Mitt's got it right: @RickSantorum's attacks on @MittRomney's pro-growth tax cut proposal are foolish.
-0.389	8555.            The Blue Monster @TrumpDoral was a sensation over the weekend. Really tough but players &amp; critics alike loved it.
-0.389	7935.            Trump Turnberry is a spectacular place--and home to four of the greatest Open Championships of all time. http://t.co/BVsLbZTA46
-0.388	62. Peoples lives are being shattered and destroyed by a mere allegation. Some are true and some are false. Some are old and some are new. There is no recovery for someone falsely accused - life and career are gone. Is there no such thing any longer as Due Process?
-0.388	10342.         With an elite course designed by @SharkGregNorman, @Trump_Charlotte is North Carolina’s most desirable club http://t.co/gUyXtGjvHd
-0.387	21372.         This is the best deal the Republicans could get?
-0.387	11022.         Putin has become a big hero in Russia with an all time high popularity. Obama, on the other hand, has fallen to his lowest ever numbers. SAD
-0.386	9480.            Just out - the POLAR ICE CAPS are at an all time high, the POLAR BEAR population has never been stronger. Where the hell is global warming?
-0.386	13380.         “The most important political office is that of the private citizen.” - Justice Louis D. Brandeis
-0.384	10660.         Talent is cheaper than table salt. What separates the talented individual from the successful one is a lot of hard work. -- Stephen King
-0.384	11983.         Brian @kilmeade wrote a wonderful book called "George Washington's Secret Six" that is truly worth reading.   http://t.co/rzdnYAAze4
-0.383	8694.            The best vision is insight. -- Malcolm Forbes
	
Top 100 Dimension 3 Positive 	
Dim.3	TWEETS
0.797	2829.            Thank you Las Vegas, Nevada- I love you! Departing for Greeley, Colorado now. Get out &amp; VOTE! #ICYMI- watch here:… https://t.co/uIloPRtEn9
0.754	3455.            Thank you Florida - we are going to MAKE AMERICA GREAT AGAIN! Join us: https://t.co/3KWOl2ibaW. #AmericaFirst https://t.co/vzKtRxzvwv
0.744	354.                Have a great game today, @USArmy and @USNavy - I will be watching. We love our U.S. Military. On behalf of an entire Nation, THANK YOU for your sacrifice and service! #ArmyNavyGame #USA🇺🇸 https://t.co/8m1W9rFwIh
0.734	2774.            Thank you Hershey, Pennsylvania. Get out &amp; VOTE on November 8th &amp; we will #MAGA! #RallyForRiley #ICYMI, watch here… https://t.co/maWukVBTr8
0.728	5093.            THANK YOU - Youngstown, Ohio! I love you! Get out &amp; #VoteTrump tomorrow. #Trump2016 https://t.co/OReGiIS6TF
0.704	3274.            Thank you Novi, Michigan! Get out and VOTE #TrumpPence16 on 11/8. Together, WE WILL MAKE AMERICA GREAT AGAIN!… https://t.co/n7Gd6Xc18H
0.696	2605.            Thank you Michigan. We are going to bring back your jobs &amp; together, we will MAKE AMERICA GREAT AGAIN!Watch:… https://t.co/EyLOo26FqW
0.689	2572.            Thank you Pennsylvania! Together, we are going to MAKE AMERICA GREAT AGAIN! Watch here: https://t.co/7R382qWfWS… https://t.co/yB6u5FEfHq
0.685	5292.            THANK YOU Arkansas! Get out &amp; #VoteTrump on Tuesday. We will MAKE AMERICA SAFE &amp; GREAT AGAIN! https://t.co/evoiSpn8PX
0.677	5371.            Join me live- now in Las Vegas, Nevada! We will MAKE AMERICA SAFE &amp; GREAT AGAIN! #VoteTrumpNV #NevadaCaucus https://t.co/IW9s9noxDT
0.674	2610.            On my way to Des Moines, Iowa- will see you soon with @mike_pence. Join us! Tickets: https://t.co/1IuRTVwMSx #ThankYouTour2016
0.672	21349.         He's hired! Listen to my #Apprentice Andy launchhis radio show @AmericaNowRadio with me tomorrow 6PM EThttp://t.co/xpz0oQa
0.671	2876.            Get your ballots in Colorado - I will see you soon -- and we will win!#MakeAmericaGreatAgain https://t.co/oDLvZg7MLk
0.643	3063.            I will Make Our Government Honest Again -- believe me. But first, I'm going to have to #DrainTheSwamp in DC. https://t.co/m1lMAQPnIb
0.64	2763.            Thank you Reno, Nevada. NOTHING will stop us in our quest to MAKE AMERICA SAFE AND GREAT AGAIN! #AmericaFirst… https://t.co/A4eeHoCbGS
0.637	2762.            Great night in Denver, Colorado- thank you! Together, we will MAKE AMERICA GREAT AGAIN! #ICYMI watch rally here:… https://t.co/LbvNHo6T2k
0.635	6648.            Join me tomorrow, Nov. 3rd, at 12pm in #TrumpTowerNY. I’ll be signing copies of my new book CRIPPLED AMERICA.  Don’t miss it!
0.635	3438.            Join us today! Together, we will #MakeAmericaGreatAgain!https://t.co/v40n8RXgti https://t.co/e3KQfBR2K8
0.627	3291.            Join me in Bedford, New Hampshire- tomorrow at 3:00pm. Can't wait to see everyone! #AmericaFirst #MAGA… https://t.co/oeOJFAS7it
0.626	3423.            Great evening in Canton, Ohio-thank you! We are going to MAKE AMERICA GREAT AGAIN! Join us: https://t.co/3KWOl2ibaW https://t.co/4MvwUj9eX9
0.625	5421.            Thank you South Carolina! Everyone get out and vote tomorrow! We will #MakeAmericaGreatAgain! https://t.co/Q2qxHINAHo
0.625	2934.            Governor @Mike_Pence and I will be in Cleveland, Ohio tomorrow night at 7pm - join us! #MAGATickets:… https://t.co/kfJv5Po0x6
0.623	3105.            Thank you Bangor, Maine! Get out &amp; #VoteTrumpPence16 on 11/8/16- and together we will MAKE AMERICA SAFE AND GREAT A… https://t.co/sUSh8v07MW
0.622	6646.            Join me today, Nov 3rd, in #TrumpTowerNYC at noon. I'll be signing copies of my new book CRIPPLED AMERICA. Don't miss it!
0.618	2750.            I love you North Carolina- thank you for your amazing support! Get out and https://t.co/HfihPERFgZ tomorrow!Watch:… https://t.co/jZzfqUZNYh
0.615	3418.            Thank you for having me! I enjoyed the tour and spending time with everyone. See you soon. #MAGA https://t.co/eNtS7IBPDo
0.614	3530.            Thank you Washington! Together, WE will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/CWDQnISYH4
0.614	4882.            I will be in Milwaukee, Wisconsin- tomorrow at 7pmE with @MELANIATRUMP. Join us! #WIPrimary #Trump2016 https://t.co/L0PmEwdRxn
0.611	14857.         Watch me get inducted into the #WWEHOF tonight at 10PM on USA. I will be posting exclusive behind the… http://t.co/tuB8UVokyw
0.607	21539.         Don't forget to watch me tonight on Late Night with Jimmy Fallon, 12:35 a.m. on NBC. I'll be making a big announcement!
0.606	5429.            Thank you South Carolina! Together, WE WILL MAKE AMERICA GREAT AGAIN! #VoteTrumpSC https://t.co/ZkXPm9lPL1
0.605	4742.            Get out and VOTE tomorrow! We will MAKE AMERICA GREAT AGAIN! #CTPrimary #DEPrimary #MDPrimary #PAPrimary #RIPrimaryhttps://t.co/ndi8sZI1Gt
0.599	5211.            Thank you Cadillac, Michigan! #VoteTrumpMI on 3/8/2016. We will MAKE AMERICA GREAT AGAIN!https://t.co/8RDmQCbHce https://t.co/94mFPx0EgH
0.599	2077.            We are taking action to #RepealANDReplace #Obamacare! Contact your Rep &amp; tell them you support #AHCA. #PassTheBill… https://t.co/5lsrDJXfzb
0.598	3518.            Thank you for having me this morning @AmericanLegion. I enjoyed my time with everyone! #ALConvention2016 https://t.co/19TZEi6EbB
0.598	4160.            Thank you for your support! We will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/ravfFT5UBE
0.597	4157.            When you can't say it - or see it -- you can't fix it. We will MAKE AMERICA SAFE AGAIN! #ImWithYou #AmericaFirst https://t.co/Vd2A747L29
0.596	2794.            Thank you Arlene! We will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #DrainTheSwamp https://t.co/tSI0YP2LL9
0.595	10511.         Iraq told us to get out, Iraq is now falling, and Iraq now wants us to come back! Don't do it unless we get the OIL, and I mean ALL OF IT!
0.594	3763.            Looking forward to IA &amp; WI with Gov. Pence, tomorrow. Join us! #MAGAhttps://t.co/3Hcnzj0Slxhttps://t.co/sEwLWkn1Sz https://t.co/0Ei3EdQdXB
0.592	1795.            Thank you for your support. Together, we will MAKE AMERICA SAFE AND GREAT AGAIN!#POTUSAbroad #USA🇺🇸 https://t.co/42vCwr5GkA
0.592	2902.            Get out to VOTE on 11/8/2016- and we will #DrainTheSwamp!RASMUSSEN NATIONAL Trump 43%Clinton 41% https://t.co/jIOR7Bq816
0.588	5323.            Thank you! WE WILL MAKE AMERICA GREAT AGAIN! #Trump2016 https://t.co/aht7wYVIUg
0.583	5866.            Iran toys with U.S. days before we pay them, ridiculously, billions of dollars. Don't release money. We want our hostages back NOW!
0.582	5959.            Thank you for your support in Biloxi, MS! Let's ALL get out &amp; VOTE in 2016, so we can #MakeAmericaGreatAgain! https://t.co/RSZF12Kyhn
0.579	2649.            Join me in Cincinnati, Ohio tomorrow evening at 7:00pm. I am grateful for all of your support. THANK YOU!Tickets:… https://t.co/51Emq7Tffa
0.575	6043.            We have many problems in our house (country!), and we need to fix them before we let visitors come over and stay. MAKE AMERICA GREAT AGAIN!
0.575	2895.            THANK YOU St. Augustine, Florida! Get out and VOTE! Join the MOVEMENT - and lets #DrainTheSwamp! Off to Tampa now!… https://t.co/zgwqhy2jBX
0.573	6561.            Thank you Iowa! I appreciate all of your support @IowaCentral &amp; @ethanolbyPOET this evening! #Trump2016 #IACaucus https://t.co/mJzLcXjtpf
0.573	4682.            Join me in Carmel, Indiana- tomorrow at 4pm! #INPrimary https://t.co/tfW6B0eZDm https://t.co/ZiofZ2D6ck
0.573	5364.            Join us in Sparks, Nevada today! #NevadaCaucus #VoteTrumpNV https://t.co/5DyhPftng9
0.573	5436.            Join us tomorrow in Kiawah, South Carolina! #SCPrimary #VoteTrumpSC#Trump2016 https://t.co/pG868uImBb
0.573	5573.            Join me tomorrow in Plymouth, New Hampshire! #FITN #NHPrimary https://t.co/zQscD1mCwM
0.573	5655.            Join me tomorrow in Dubuque, Iowa! #IACaucus #Trump2016 https://t.co/rWbHdaYgBl
0.571	20852.         Hope to see you tomorrow in Trump Tower (5th Ave betw 56 and 57) -- I'll be signing copies of my book #TimeToGetTough from noon until 2 pm
0.568	3479.            Wow - thank you Pensacola, FL. See you Friday at 7pm -- join me!https://t.co/JCO7Za78tV https://t.co/LYmpRyY0Hq
0.566	5272.            THANK YOU ALABAMA! 32,000 supporters tonight. Get out &amp; VOTE on Tuesday! WE WILL MAKE AMERICA GREAT AGAIN! https://t.co/rOkldN7dat
0.56	3353.            Thank you Roanoke, Virginia - this a MOVEMENT - join us today!Sign up: https://t.co/NQEgRxQN2m#AmericaFirst… https://t.co/Rz3DkpBQJu
0.557	5012.            THANK YOU ARIZONA! 20,000 amazing supporters! Get out and #VoteTrump on Tuesday. I love you!#MakeAmericaGreatAgain https://t.co/pU5vB1pBO5
0.554	6121.            Thank you for all of your support! Most importantly - we need to get everyone out to VOTE! #VoteTrump2016 https://t.co/ezCsk3cWaJ
0.554	2568.            Thank you Florida. My Administration will follow two simple rules: BUY AMERICAN and HIRE AMERICAN! #ICYMI- Watch:… https://t.co/3vgtzSJsFu
0.55	2860.            JOIN ME! #MAGATODAY:Springfield, OH Toledo, OH Geneva, OH FRIDAY:Manchester, NH Lisbon, ME Cedar Rapids, IAhttps://t.co/kv624y9UOm
0.549	2966.            Great poll - thank you America! Once we #DrainTheSwamp, together we will #MAGA🇺🇸#Debate https://t.co/SvcjmrsHKD
0.547	3072.            Join me in Colorado Springs, Colorado tomorrow at 1:00pm! #MAGA Tickets: https://t.co/ktFk8RuaUK
0.547	3257.            Join me in Reno, Nevada tomorrow at 3:30pm! #AmericaFirst #MAGATickets: https://t.co/DJ7JJUkkz7
0.547	5722.            Join us in Iowa, tomorrow! #IACaucus #Trump2016 #MakeAmericaGreatAgain 3:00pm: https://t.co/cWQKRAgqfX 7:30pm: https://t.co/v2Ejh0TweS
0.546	3793.            Thank you Columbus, Ohio! I will be back soon. #ImWithYou #MAGA https://t.co/vMf1EPJp4r
0.545	2896.            Join me LIVE on my Facebook page in St. Augustine, Florida! Lets #DrainTheSwamp &amp; MAKE AMERICA GREAT AGAIN!… https://t.co/mPzVrcaR9L
0.544	9117.            Tweet me your New Year's resolution to make America great again! #TrumpNewYearsRes http://t.co/HmfRHUoIWT
0.543	4839.            Join me in Rome, NY- tomorrow!#Trump2016 #NYPrimaryTickets available: https://t.co/VGCdQubia1
0.543	2855.            Join me in Cedar Rapids, Iowa tomorrow at 7:00pm! #MAGAhttps://t.co/QWaEJpzvKN https://t.co/CniHGkjp0v
0.541	5515.            THANK YOU- Baton Rouge, Louisiana! WE will #MakeAmericaGreatAgain! #Trump2016 https://t.co/XV7EIe7A2l
0.539	2738.            VOTE TODAY! Go to https://t.co/MXrAxYnTjY to find your polling location. We are going to Make America Great Again!… https://t.co/KPQ5EY9VwQ
0.539	4674.            Thank you Carmel, Indiana! Get out &amp; #VoteTrump tomorrow! #INPrimary #MakeAmericaGreatAgain https://t.co/j07c4oYryG
0.539	4840.            Tune in &amp; join me live in Albany, New York! 7pmE start time! I love you New York! #Trump2016 #TrumpTrain https://t.co/rY5zqUX9Wu
0.538	6132.            #MakeAmericaGreatAgain I will be in Cedar Rapids,IA this Saturday. Get your tickets-https://t.co/QcqOsG3jqo
0.538	3440.            Join me in Clive, Iowa tomorrow at noon! #AmericaFirst #MAGATickets: https://t.co/TEY6BbCyxt https://t.co/l17uzRPyLs
0.538	3909.            Join us in Toledo, Ohio- tomorrow night at 8pm! #TrumpPence16 #MAGATickets: https://t.co/ERNRrksikq https://t.co/zmGZauCnQF
0.538	3910.            Join us tomorrow in Scranton, Pennsylvania at 3pm!#TrumpPence16 #MAGA Tickets: https://t.co/4FTydj8s9U https://t.co/7zMKhhMmhp
0.536	3626.            They will soon be calling me MR. BREXIT!
0.536	2889.            Record crowd in Tampa, Florida- thank you! We will WIN FLORIDA, #DrainTheSwamp in Washington D.C. and MAKE AMERICA… https://t.co/IpSUYnXcp6
0.535	7113.            I will rebuild the military, take care of vets and make the world respect the US again! Join me today. Info: http://t.co/oiPQsJt7fh
0.534	7807.            My daughter, Ivanka, will be representing me today at the opening of our campaign office in Manchester, NH  #MakeAmericaGreatAgain!
0.534	364.                On my way to Pensacola, Florida. See everyone soon! #MAGA https://t.co/ijwxVSYQ52
0.534	5425.            Join us tomorrow night in Charleston, South Carolina! #SCPrimary #Trump2016 https://t.co/VauoRmgcVz
0.532	5490.            Thank you, South Carolina! We will MAKE AMERICA SAFE &amp; GREAT AGAIN!https://t.co/8pfvTZngrZ https://t.co/QiO0nwcFSA
0.532	2856.            #ICYMI: I agree- To all Americans, I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp with me on 11/8.… https://t.co/P2edj2MoXy
0.531	2607.            Join me live in Louisiana! Tomorrow, we need you to go to the polls &amp; send John Kennedy to the U.S. Senate. https://t.co/O0jtz0BKeL
0.53	3536.            Join me this Wednesday in Phoenix, Arizona at 6pm! #ImWithYouTickets: https://t.co/1jATILh2k7 https://t.co/VwKnxo1TNQ
0.529	2614.            Join me tomorrow in Des Moines, Iowa with Vice President-Elect @mike_pence - at 7:00pm!#ThankYouTour2016 #MAGA… https://t.co/Geq6sT70IT
0.528	4870.            I will be on @SeanHannity @FoxNews- tonight at 10pmE w/ @MELANIATRUMP, from Wisconsin. Enjoy! #WIPrimary #Trump2016 https://t.co/znfxf2wyrr
0.527	6659.            Join me Tuesday Nov. 3rd at 12 PM in #TrumpTower in NYC. I'll be signing copies of my book CRIPPLED AMERICA. Don't miss it!
0.525	3486.            Join me in Pensacola, Florida this Friday at 7pm! #VoteTrump https://t.co/L8Ui56dcrJ https://t.co/0ciDCuoFeO
0.525	2609.            Join me tomorrow! #MAGA 10am- Baton Rouge, LA. Tickets: https://t.co/rvIQ6Yq45P7pm- Grand Rapids, MI.Tickets: https://t.co/2UTwAg5V87
0.524	5975.            #VoteTrump2016 &amp; together we will #MakeAmericaGreatAgain! THANK YOU for your support! https://t.co/bziqUSHnbi
0.521	3426.            Thank you Florida- can't wait to see you Friday in Miami! Join me:https://t.co/rsx313493u https://t.co/JxsWXz05T9
0.521	5501.            I will end illegal immigration and protect our borders! We need to MAKE AMERICA SAFE &amp; GREAT AGAIN! #Trump2016https://t.co/wd3LlMz01I
0.521	2935.            Thank you to the great crowd of supporters in Newtown, Pennsylvania. Get out &amp; VOTE on 11/8/16. Lets #MAGA! Watch:… https://t.co/eb6XuMlbFW
0.52	1632.            Together, we are going to MAKE AMERICA GREAT AGAIN!#AmericaFirst🇺🇸 https://t.co/MVJbs44AtR
0.52	4648.            Join me tomorrow! #Trump2016 #MakeAmericaGreatAgain Omaha, Nebraska:https://t.co/2OWQIlNutuEugene, Oregon:https://t.co/oroTbvsNdQ
