Top 100 Dimension 5 Negative 	
-0.451	19820.         How ironic that @BarackObama's campaign would call me a charlatan. Have they looked at their boss's record?
-0.451	20545.         @fatmaninaspeedo  I have not met @MacMiller but his song, Donald Trump, has had over 40 milion hits. Maybe he should pay me somethiing.
-0.451	21311.         @BarackObama is sure a master delegator. He has sent @Joe_Biden to China. The Chinese are laughing at us. We MUST do better.
-0.445	12313.         When will lightweight hack Attorney General be investigated for his repeated prosecutorial misconduct?http://t.co/4rO77pskNA
-0.444	9093.            Amy Pascal of Sony was totally used by Rev. Al Sharpton. She should be fired for stupidity.
-0.443	5833.            If Ted Cruz is so opposed to gay marriage, why did he accept money from people who espouse gay marriage?
-0.442	20885.         Why did @BarackObama let Iran keep our drone? Now it is going straight to the Chinese. He should have taken it out.
-0.442	2706.            Just got a call from my friend Bill Ford, Chairman of Ford, who advised me that he will be keeping the Lincoln plant in Kentucky - no Mexico
-0.441	18076.         We should not allow @Chrysler to move @Jeep jobs to China after they said they wouldn't--stay tuned!
-0.441	2486.            How did NBC get "an exclusive look into the top secret report he (Obama) was presented?" Who gave them this report and why? Politics!
-0.439	1055.            I spoke with President Moon of South Korea last night. Asked him how Rocket Man is doing. Long gas lines forming in North Korea. Too bad!
-0.438	9939.            USMC Sgt. Tahmooressi has now been held in Mexican jail for over 150 days. When will Obama call for his release? #FreeOurMarine
-0.438	6931.            Wacky @glennbeck who always seems to be crying (worse than Boehner) speaks badly of me only because I refuse to do his show--a real nut job!
-0.438	16298.         Hagel committee vote has been postponed as Hagel refuses to disclose all his finances http://t.co/FgsRDYXQ
-0.438	12513.         @ArsenioHall has great ratings-I told you so. He should pay me at least 25% of his earnings because he would be nowhere without Donald Trump
-0.437	19494.         Via @BreitbartFeed--why doesn't @BarackObama release his original book proposal which says he was born in Kenya?http://t.co/pDDHJcjH
-0.437	4658.            What a great evening we had. So interesting that Sanders beat Crooked Hillary. The dysfunctional system is totally rigged against him!
-0.436	20452.         He @MittRomney wrote a great piece on China http://t.co/RodFLIiT @JonHuntsman criticized him  (cont) http://t.co/QQUXLqCk
-0.435	3138.            Crooked Hillary Clinton likes to talk about the things she will do but she has been there for 30 years - why didn't she do them?
-0.434	12672.         We should not attack Syria but if they make the stupid move to do so, the Arab League,whose members are laughing at us, should pay!
-0.433	7751.            Interesting that @Macys criticized me but just paid $650,000 in fines for racial profiling. Are they racists?
-0.433	1185.            Strange statement by Bob Corker considering that he is constantly asking me whether or not he should run again in '18. Tennessee not happy!
-0.433	5784.            Low energy candidate @JebBush has wasted $80 million on his failed presidential campaign. Millions spent on me. He should go home and relax!
-0.43	7705.            Thx to all the people who called to say they are cutting their @Macys credit card as a protest against illegal immigrants pouring into US
-0.43	17349.         If Sheena Monnin apologized for her mistake, as she should have, I would have treated her very nicely.
-0.429	8148.            Jeb Bush really blew his interview with @megynkelly - should cost him big time. Said he would do the disastrous  Iraq war all over again
-0.429	4417.            I should have easily won the Trump University case on summary judgement but have a judge, Gonzalo Curiel, who is totally biased against me.
-0.428	11400.         A-Rod’s lawsuit trying to overturn a binding arbitration agreement is going nowhere. He should be banned from spring training.
-0.427	17350.         Sheena Monnin acted terribly...she got what she deserved!
-0.424	4126.            Why is President Obama allowed to use Air Force One on the campaign trail with Crooked Hillary? She is flying with him tomorrow. Who pays?
-0.424	2535.            President Obama said that he thinks he would have won against me. He should say that but I say NO WAY! - jobs leaving, ISIS, OCare, etc.
-0.424	21310.         Israel is being barraged by rockets from Gaza recently. They must respond accordingly in defense of their citizens.
-0.422	20989.         If @BarackObama wanted the "Super Committee" to succeed, he would have lead. Instead he has been campaigning. Where is the leadership?
-0.422	16875.         @ProtagonistHero He brought them on himself!
-0.422	20961.         The banks were bailed out by us. They should start lending to private entrepreneurs. The banks are slowing American growth.
-0.422	713.                Jeff Flake, with an 18% approval rating in Arizona, said "a lot of my colleagues have spoken out." Really, they just gave me a standing O!
-0.421	19018.         Why has Barack Obama repeatedly told inconsistent stories about his religious background?  http://t.co/ywQEJZok   Who is he?
-0.421	14100.         @SusieBeatrice1 @leeboggs True, they are being decimated.
-0.42	18455.         My interview with @RealMichaelKay discussing why A-Rod should be fired from @yankees &amp; how to terminate his contract http://t.co/dlErLZAE
-0.418	17404.         I let @pennjillette come back on the record 13th season of ‘All Star’ @CelebApprentice after he relentlessly begged me to--good t.v.
-0.418	3950.            Wow, President Obama's brother, Malik, just announced that he is voting for me. Was probably treated badly by president-like everybody else!
-0.417	20634.         @BarackObama’s Russian Ambassador stated that he supports ‘universal values’ not ‘American values’ (cont) http://t.co/RCymV2v1
-0.417	7129.            Lightweight Senator @RandPaul should focus on trying to get elected in Kentucky--- a great state which is embarrassed by him.
-0.416	1985.            Why would I call China a currency manipulator when they are working with us on the North Korean problem? We will see what happens!
-0.416	5649.            .@BenSasse looks more like a gym rat than a U.S. Senator. How the hell did he ever get elected?  @greta
-0.415	7772.            Univision apologized to me but I will not accept their apology. I will be suing them for a lot of money. Miss U.S.A. contestants are hurt!
-0.414	14687.         The Chinese must still be laughing at Kerry’s trip to China.  He got nothing, gave them everything and promised even more.
-0.414	4775.            Senator Ted Cruz has been MATHEMATICALLY ELIMINATED from race. He said Kasich should get out for same reason. I think both should get out!
-0.413	6305.            Hillary won't call out radical Islam! She will be soundly defeated.
-0.412	18765.         .@MittRomney must ask for Obama's college records &amp; applications--why is he not doing this?
-0.411	14893.         When is South Korea going to start paying us for the massive amounts of money we are spending to protect them from the North?
-0.411	13921.         @arid93  They should have stopped paying him a long time ago.
-0.41	9373.            We are now sending thousands of additional troops to Iraq to teach them how to fight - they will run, billions wasted! WHAT DOES U.S. GET?
-0.41	21012.         @BarackObama has already added $5 Trillion to the national debt in less than 3 years. We must defeat him in 2012. #TimeToGetTough
-0.41	1592.            ...to Mar-a-Lago 3 nights in a row around New Year's Eve, and insisted on joining me. She was bleeding badly from a face-lift. I said no!
-0.409	18236.         China is primed to continue to rob us and steal our jobs through their exports http://t.co/eShZeqgZ  We need @MittRomney to rein them in.
-0.408	13639.         Millions protesting in Egypt for Morsi’s ouster http://t.co/AAJxDF90Bl When will Obama demand Morsi’s resignation as he did to Mubarak
-0.408	6944.            Crooked @club4growth has given up advertising in Iowa on me—remember they wanted my million dollars—I said no—total frauds!
-0.408	11011.         Robert Slater, who just passed away, was a terrific writer who wrote a very fair book about me. He will be missed. http://t.co/gAPE7AoYvJ
-0.407	21412.         So China is ordering us to raise the Debt Limit...How low have we as a nation sunk?
-0.407	9629.            The military generals are fuming at Obama. He has boxed them in against ISIS with a strategy that is destined to fail. Sad!
	
Top 100 Dimension 5 Positive 	
Dim.5	TWEETS
0.757	11450.         Have your own vision &amp; stick with it. Don't be afraid to be unique.Every day is an opportunity to show what you can do at the highest level.
0.745	14298.         Sorry losers and haters, but my I.Q. is one of the highest -and you all know it! Please don't feel so stupid or insecure,it's not your fault
0.743	11550.         If you fail once, twice, three times, it doesn't matter. Learn from your mistakes and push forward to VICTORY-the sweetest feeling there is!
0.737	8519.            Entrepreneurs:  Let your actions show that you're the best. See each day as an opportunity to show you can do business at the highest level.
0.683	10237.         See yourself as having a lot already, and keep your integrity intact. It’s the best path to comprehensive success. -  Think Like a Champion
0.68	21480.         Be sure to watch The Celebrity Apprentice on Sunday at 9 pm on NBC. It's an episode you'll want to see---and one you won't forget!
0.673	10669.         Entrepreneurs:  See yourself as victorious--and the best way to be victorious is to be passionate. Find something you love doing!
0.651	13272.         Don't ever think you've done it all already or that you've done your best. That's a shortcut to undermining your own potential.
0.646	10961.         Entrepreneurs: Watching you could be the motivation for your employees.Make it an example that will best serve the success of your business.
0.64	20264.         Don't forget to watch Celebrity Apprentice this Sunday night at 9 pm on NBC. You're in for a great show.http://t.co/y6Qsh1uv
0.629	15231.         "You can have the best product in the world, but if people don't know about it, it's not going to be worth much."  The Art of The Deal
0.629	17844.         "You can have the best product in the world, but if people don't know about it, it's not going to be worth much." - The Art of the Deal
0.628	10740.         “If you want to be the best, you’d better be the best – in all aspects of business.” - Think Like a Billionaire
0.625	9339.            Entrepreneurs: Set the bar high. Do the best you possibly can. Apply your skills and talent, but above all, be tenacious.
0.621	11406.         #1 for success: Find out what you love to do. Trust yourself enough to find out what is best for you and what you're best at doing...
0.62	8684.            Entrepreneurs: Listen and learn from others, but make your own decisions. Take responsibility for yourself. It's a very empowering attitude!
0.614	18757.         Be tenacious. Being tenacious means you're tough and patient at once, so it's a formidable combination.
0.611	10598.         Entrepreneurs:  If you cannot handle the tough times, you will never be successful in business. Stay positive &amp; stay strong!
0.61	9575.            If you can’t see it, you can’t make it happen. Entrepreneurs, chase your dreams with resolute focus &amp; determination. Be positive!
0.605	10885.         Entrepreneurs:  Have your own vision and stick with it. Don’t be afraid to be unique. Don’t tread water--get out there and go for it.
0.604	8521.            Entrepreneurs: Set the example, and you'll be a magnet for the right people. That's the best way to work with people you like.
0.592	8622.            Entrepreneurs: Identify your goals --  and see each day as an opportunity to show what you can do at the highest level.
0.588	12480.         President Obama must remember that the worst thing you can do in a deal is seem desperate to make it. Be cool, move slowly - and think! IRAN
0.587	9781.            .@JustinRose99 The display you put on this weekend was unprecedented. Even the best putters couldn't believe it. You're amazing. See u soon.
0.585	8682.            Entrepreneurs: Don't ever think you've done it all already or that you've done your best. Don't sell yourself short!
0.585	10333.         Let this be the day you go for your dream. Focus, don't give up, and only accept total and complete victory. You can do it!
0.583	9280.            If you really want to succeed, you'll have to go for it every day. The big time isn't for slackers. Keep up your stamina and remain curious.
0.577	8580.            Entrepreneurs: Don’t ever think you’ve done it all already or that you’ve done your best. You haven't-- so don't limit yourself!
0.576	10962.         Entrepreneurs: Pay attention to details. If you don’t know everything about what you’re doing, you'll be in for some big surprises.
0.574	13148.         Do not settle for remaining in your comfort zone. Being complacent is a good way to get nowhere. Get your momentum going and keep it going.
0.574	16448.         To entrepreneurs: Watching you could be the motivation for your employees, so make it an example that will best serve your success.
0.57	8730.            Entrepreneurs:  See each day as an opportunity to show what you can do at the highest level. Take responsibility for yourself!
0.57	13237.         Negotiation tip: Be patient, be persistent, be stubborn. Know exactly what you want and keep it to yourself.
0.569	5880.            Don't forget to watch The Tonight Show with the wonderful @jimmyfallon at 11:30 P.M. You will not be disappointed!  @NBC
0.569	14707.         Negotiation is persuasion more than power. Be reasonable and flexible, and never let anyone know exactly where you’re coming from.
0.569	16307.         Negotiation is persuasion more than power. Be reasonable and flexible, and never let anyone know exactly where you’re coming from.
0.569	11327.         Always leave your ego at the door during negotiations. Remember, it’s only business and there will always be another day!
0.567	8536.            Entrepreneurs: There are no guarantees, but being ready sure beats being taken by surprise. Know everything you can about what you're doing.
0.566	11178.         Entrepreneurs:  Don't expect anyone to be on your side. Sometimes we're all in this alone. So believing in yourself is mandatory.
0.565	16023.         Be tenacious. Being tenacious means you're tough and patient at once--a formidable combination.
0.564	7908.            Entrepreneurs: Don’t sell yourself short. Don’t ever think you’ve done it all already or that you’ve done your best.
0.562	8488.            Entrepreneurs: When negotiating, don't be an open book. Know that the only person on your side might be yourself.
0.561	8674.            Entrepreneurs: See each day as an opportunity to show what you can do at the highest level.
0.561	2758.            Thank you Minnesota! It is time to #DrainTheSwamp &amp; #MAGA! #ICYMI- watch: https://t.co/fVThC7yIL6 https://t.co/e8SaXiJrxj
0.56	8747.            Remember, tonight's 8 o’clock episode of Celebrity Apprentice is the best ever—you will see nothing like it on tv. @ApprenticeNBC
0.558	11270.         "Just be tough, be strong, be willing to learn – and you will learn. Don’t be afraid of mistakes or setbacks."  Think Like a Champion
0.558	14110.         It's important to remain open to new ideas and new information. Keep your door open every day to something innovative and energizing.
0.556	2872.            Thank you Tallahassee, Florida! A beautiful evening with the MOVEMENT! Get out &amp; VOTE!#ICYMI- watch here: https://t.co/GDKhwrCa9R
0.554	10227.         Remember the old saying "The more you learn, the more you realize you don't know" -- it's true. Learning is a daily challenge.
0.553	10662.         Persistence is a key for success. Don’t give up. Continue to Think Big and you will be able to close deals.
0.553	14324.         The jury in the Jodi Arias trial is, believe it or not, still out. You never know but such a long deliberation could be good for the defense
0.553	3227.            Thank you Henderson, NV. This is a MOVEMENT like never seen before! Watch some of the rally via my Facebook page:… https://t.co/dNF8G4VUqY
0.552	8861.            Entrepreneurs:  Everything starts with you. Realize that you're in charge.  Whatever happens, you're responsible.
0.549	9873.            If you can’t focus with unyielding resolve, then you will never be successful. Believe in yourself and you can accomplish your goals.
0.544	11986.         Success tip: See yourself as victorious. This will focus you in the right direction. Apply your skills and talent--and be tenacious.
0.543	11514.         Entrepreneurs: Apply your skills and talent, but above all, be tenacious. See yourself as victorious--which means never giving up.
0.542	2753.            Starting tomorrow it's going to be #AmericaFirst! Thank you for a great morning Sarasota, Florida!Watch here:… https://t.co/ig62Kjkkvl
0.539	5624.            Watch @IvankaTrump show you how easy it is to #CaucusForTrump in Iowa! #IACaucus Video: https://t.co/Bf4J2OBtUU https://t.co/4Ma5JSkFu7
0.539	10340.         "If you want to be successful, two important considerations are passion and efficiency." - Think Like a Champion
0.538	8701.            Don’t forget to watch @ApprenticeNBC tonight—you will love it! 8 PM on NBC.  #CelebApprentice
0.537	11245.         "Don't sell yourself short on something that is important. Today is just the beginning."  -- Think Like a Champion
0.534	1382.            Come on Republican Senators, you can do it on Healthcare. After 7 years, this is your chance to shine! Don't let the American people down!
0.533	10874.         Remember, if you don’t sell yourself, no one else will. Make sure the public, friends &amp; the business community hears about your success.
0.532	10898.         Remember, negotiations are fluid. Remain calm and don’t settle easily. If you have the goods, you will ultimately win.
0.531	8464.            Entrepreneurs:  See yourself as victorious. Look at the solution, not the problem. Be tough, be strong, be tenacious.
0.531	9365.            Each and every new event space at @TrumpDoral looks stunning. See the transformation for yourself: http://t.co/G6G101t3kF
0.53	11362.         "You never know when the tide is going to turn in your favor. It's important to never give up on yourself." -- Think Like a Champion
0.53	12808.         “You owe it to yourself and to your community to make your property the best it can be.” – Think Like a Billionaire
0.529	8644.            Entrepreneurs:  Pay attention to your negotiation skills. It's all about persuasion, and persuasion is power.
0.527	11872.         Work is fun, deals are fun, life is fun - but love of a great family makes it all come together. Go out there and make your family proud.
0.526	15500.         “You have to be patient as well as enthusiastic when it comes to your goals. Think big, but be realistic.” – Think Big
0.525	8391.            Entrepreneurs: Resolve to be bigger than your problems. Who's the boss? Don't negate your own power.
0.525	8635.            Entrepreneurs: Difficulties, mistakes &amp; setbacks are an inevitable part of business &amp; life. Remember to keep your equilibrium intact.
0.524	2918.            Thank you for the massive turnout tonight- Cleveland, Ohio! Get out &amp; VOTE #TrumpPence16 on 11/8.Watch rally here:… https://t.co/XuJZeJwSGk
0.523	184.                Do you notice the Fake News Mainstream Media never likes covering the great and record setting economic news, but rather talks about anything negative or that can be turned into the negative. The Russian Collusion Hoax is dead, except as it pertains to the Dems. Public gets it!
0.522	15557.         Remember--the worst thing you can do in a negotiation is seem desperate to make the deal.
0.521	12805.         Do not settle for remaining in your comfort zone. Being complacent is a good way to get nowhere. Take control and move forward every day.
0.518	21454.         Don't forget the Miss USA Pageant, live on Sunday night at 9 pm ET on NBC. And you can vote for your favorite beauty! http://t.co/qzTa367
0.517	9069.            Entrepreneurs: Realize that fear is the exact opposite of faith. Resolve to be bigger than your problems. Who's the boss?
0.516	13364.         "If you want to conquer fear, don't sit home and think about it. Go out and get busy." - Dale Carnegie
0.514	11571.         “If you want the best, you’d better be the best – in all aspects of business.” – Think Like a Billionaire
0.513	9078.            Be sure to set exceptional goals for your 2015 resolutions. Push yourself, you can do it. Think Big!
0.513	10778.         Never make a concession during negotiations that could lead to more demands. Be prudent. It's best to have your concessions predetermined
0.512	10998.         Remember, oftentimes the best deal you make is the deal you don't make!
0.512	7785.            When somebody challenges you unfairly, fight back - be brutal, be tough - don't take it. It is always important to WIN!
0.508	13852.         "Always pretend that you're working for yourself. You'll do a wonderful job. It's simple, but it works." - Think Like a Billionaire
0.505	17771.         "Don't take vacations.  What's the point?  If you're not enjoying your work, you're in the wrong job."  -- Think Like A Billionaire
0.504	21729.         "Don’t be afraid of being unique - it's like being afraid of your best self." --Donald J. Trump http://tinyurl.com/pqpfvm
0.504	9655.            "Sweat equity is the most valuable equity there is. Know your business and industry better than anyone else in the world." @mcuban
0.503	17424.         Negotiation tip #1:  The worst thing you can possibly do in a deal is seem desperate to make it.
0.502	9075.            Entrepreneurs: Realize that becoming an entrepreneur is not a group effort. You're in charge. Everything starts with you.
0.5	15998.         Re: Success-- Don't put blinders on and do not limit yourself; reach out, seek and explore. Think big at all times.
0.499	8530.            Entrepreneurs: See yourself as an organization. Pay attention to every facet of your life. What's strong? What's weak? What's missing?
0.498	2867.            Beautiful evening in Kinston, North Carolina - thank you! Get out and VOTE!! You can watch tonight's rally here:… https://t.co/x7wtERl55d
0.498	11268.         Never allow your attitude to be a liability. Be positive and strong. Set your mind on winning-- and keep it there.
0.497	11162.         Success tip: Don't tread water. Get out there and go for it. There's nothing wrong with bringing your talents to the surface.
0.497	1656.            Democrat Jon Ossoff, who wants to raise your taxes to the highest level and is weak on crime and security, doesn't even live in district.
0.496	15153.         Don't blindly pursue a career that others suggest or insist is right for you. It may be worth taking a pay cut for a job you love.
0.495	10318.         “Set the example, and you’ll be a magnet for the right people. That’s the best way to work with people you like.” – Think Like a Champion
0.494	9957.            Entrepreneurs: Do not view any failure as the final say for your efforts. Learn your lessons quickly, then move on.
